name,mass (g),year,reclat,reclong,color
Grove Mountains 021535,0.07,2003,-72.962500,75.225833,1
Grove Mountains 021631,0.07,2003,-72.791389,75.297222,1
Grove Mountains 022399,0.07,2003,-72.777500,75.318889,1
Grove Mountains 022940,0.07,2003,-72.774444,75.322222,1
Grove Mountains 023114,0.07,2003,-72.774444,75.323889,1
Grove Mountains 023561,0.07,2003,-72.984167,75.246389,1
Grove Mountains 024245,0.07,2003,-72.982500,75.250000,1
Frontier Mountain 01010,0.07,2001,-72.952500,160.507500,1
Frontier Mountain 01043,0.07,2001,-72.988330,160.406940,1
Frontier Mountain 01063,0.07,2001,-72.987780,160.408610,1
Frontier Mountain 01123,0.07,2001,-72.951670,160.463060,1
Frontier Mountain 01157,0.07,2001,-72.989440,160.402220,1
Lucerne Valley 100,0.08,2008,34.487380,-116.960650,1
Grove Mountains 050012,0.08,2006,-73.112500,75.159444,1
Grove Mountains 051523,0.08,2006,-72.935000,75.314170,1
Grove Mountains 020202,0.08,2003,-72.992500,75.206390,1
Grove Mountains 020262,0.08,2003,-72.983060,75.229170,1
Grove Mountains 021746,0.08,2003,-72.786940,75.304720,1
Grove Mountains 022381,0.08,2003,-72.780280,75.281670,1
Grove Mountains 022558,0.08,2003,-72.773890,75.342780,1
Grove Mountains 024007,0.08,2003,-72.992500,75.252220,1
Dar al Gani 1048,0.08,2001,27.201670,16.311170,1
Frontier Mountain 01036,0.08,2001,-72.988890,160.405280,1
Frontier Mountain 01056,0.08,2001,-72.988060,160.406110,1
Frontier Mountain 01110,0.08,2001,-72.952220,160.462500,1
Frontier Mountain 01128,0.08,2001,-72.952220,160.459170,1
Frontier Mountain 01142,0.08,2001,-72.992220,160.400000,1
Frontier Mountain 01164,0.08,2001,-72.989440,160.402780,1
Frontier Mountain 10028,0.09,2011,-72.952430,160.490850,1
Jiddat al Harasis 519,0.09,2008,19.530600,55.180970,1
Frontier Mountain 03100,0.09,2004,-72.952280,160.501060,1
Lucerne Valley 037,0.09,2004,34.488870,-116.952230,1
Grove Mountains 020328,0.09,2003,-72.983890,75.246390,1
Grove Mountains 020589,0.09,2003,-72.983890,75.246390,1
Grove Mountains 020820,0.09,2003,-72.983330,75.246390,1
Grove Mountains 022894,0.09,2003,-72.774720,75.313890,1
Grove Mountains 023042,0.09,2003,-72.773333,75.323611,1
Grove Mountains 023246,0.09,2003,-72.773611,75.320000,1
Grove Mountains 023781,0.09,2003,-72.984720,75.249440,1
MacAlpine Hills 02559,0.09,2002,-84.216670,160.500000,1
Frontier Mountain 01047,0.09,2001,-72.989720,160.404440,1
Frontier Mountain 01079,0.09,2001,-72.952500,160.449720,1
Frontier Mountain 01097,0.09,2001,-72.954170,160.438330,1
Frontier Mountain 01160,0.09,2001,-72.989720,160.403060,1
Frontier Mountain 01163,0.09,2001,-72.993330,160.400000,1
MacAlpine Hills 02689,0.11,2002,-84.216670,160.500000,1
MacAlpine Hills 02694,0.12,2002,-84.216670,160.500000,1
MacAlpine Hills 02698,0.15,2002,-84.216670,160.500000,1
MacAlpine Hills 02693,0.16,2002,-84.216670,160.500000,1
Grove Mountains 055153,0.17,2006,-72.998890,75.187220,1
Frontier Mountain 03071,0.17,2004,-72.952970,160.443140,1
Ramlat as Sahmah 394,0.18,2010,20.147230,55.709600,1
MacAlpine Hills 02686,0.18,2002,-84.216670,160.500000,1
Frontier Mountain 03094,0.21,2004,-72.951610,160.515310,1
