42805,12597,50,46,1997/05/12
43059,12841,50,44,1997/09/08
43018,12913,79,56,1997/09/26
43024,12926,55,58,1997/09/26
43090,12842,73,43,1997/09/27
43019,12901,46,40,1997/09/27
43035,12936,50,40,1997/09/27
43087,12835,96,40,1997/10/02
43616,12163,50,41,1997/10/02
43629,12150,45,40,1997/10/02
43023,12890,47,47,1997/10/03
42914,12935,50,41,1997/10/04
42920,12983,42,41,1997/10/04
42917,12977,40,43,1997/10/04
42917,12973,50,43,1997/10/04
43010,12918,34,54,1997/10/06
43010,12919,52,41,1997/10/07
42897,13008,50,47,1997/10/12
42878,13051,35,40,1997/10/13
42864,13002,38,40,1997/10/13
42907,12969,46,55,1997/10/14
42922,12992,57,41,1997/10/15
43032,12898,79,41,1997/10/16
42800,13049,49,40,1997/10/25
42862,13052,100,40,1997/11/08
42854,13059,107,46,1997/11/09
37677,15070,50,41,1997/12/24
44135,10560,44,41,1997/12/24
42834,13000,50,40,1997/12/31
38330,12868,100,41,1998/01/10
44801,10731,50,40,1998/02/21
43351,17976,100,43,1998/03/18
42978,12906,50,41,1998/03/21
43175,12860,478,47,1998/03/26
43177,12786,96,47,1998/04/03
43189,12774,92,40,1998/04/03
43177,12774,100,45,1998/04/05
46400,13705,50,52,1998/04/12
46300,13700,50,42,1998/05/06
43425,18327,100,40,1998/05/16
39143,15420,3120,51,1998/05/18
43170,12817,95,42,1998/06/02
43179,12818,94,41,1998/06/05
38368,12818,100,43,1998/06/20
38425,12795,50,41,1998/06/21
38429,12787,50,42,1998/06/22
43005,12862,45,40,1998/06/25
42446,13058,50,45,1998/08/15
46003,14992,100,44,1998/08/12
39979,16026,74,50,1998/09/09
38520,13711,50,41,1998/09/14
39486,13563,6444,46,1998/12/13
38969,17849,100,42,1999/01/17
44002,11968,170,43,1999/01/25
38183,15019,120,43,1999/02/14
38616,14010,145,40,1999/06/02
44253,10817,52,46,1999/07/07
44251,10857,44,40,1999/07/10
42685,13108,50,40,1999/10/10
46613,10304,50,45,1999/12/29
38269,12141,102,43,1999/12/30
41956,13068,50,43,2000/03/11
39414,16293,3234,40,2000/03/30
42939,11733,75,40,2000/04/01
